"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 19:08:15 IST 2024","Wed Jun 12 19:08:32 IST 2024","16457","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","currencyFunctionality","currencyFunctionality","Tab Switched to New Extra Net"
"passed","Wed Jun 12 19:09:58 IST 2024","Wed Jun 12 19:10:34 IST 2024","36694","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","testFooter","testFooter","Twitter Handle - link verified"
"passed","Wed Jun 12 19:10:38 IST 2024","Wed Jun 12 19:10:54 IST 2024","16403","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","searchCabsAndLoginSignupFunctionality","searchCabsAndLoginSignupFunctionality","Verified Login & Sign up Functionalityis failed"
"passed","Wed Jun 12 19:09:00 IST 2024","Wed Jun 12 19:09:23 IST 2024","22691","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","searchCabs","searchCabs","Search cabs button is clicked"
"passed","Wed Jun 12 19:11:01 IST 2024","Wed Jun 12 19:11:14 IST 2024","12698","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","homePageFooterSectionFunctionality","homePageFooterSectionFunctionality","Clicked on advertise with us"
"passed","Wed Jun 12 19:11:19 IST 2024","Wed Jun 12 19:11:58 IST 2024","39534","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","homePage","homePage","Click on Search Flights"
"passed","Wed Jun 12 19:09:27 IST 2024","Wed Jun 12 19:09:53 IST 2024","26065","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","testBusBooking","testBusBooking","Number of Buses for selected filter"
"passed","Wed Jun 12 19:12:05 IST 2024","Wed Jun 12 19:12:39 IST 2024","34662","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","multiplePageExploration","multiplePageExploration","Click on Search Cabs"
"passed","Wed Jun 12 19:07:51 IST 2024","Wed Jun 12 19:08:12 IST 2024","20848","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","verifySearchHotelsFunctionality","Verifying Search Hotels Functionality","Tab Switch to Hotels Search Page"
"passed","Wed Jun 12 19:08:36 IST 2024","Wed Jun 12 19:08:56 IST 2024","20568","Surefire suite","Surefire test","runner.TestGoIbibo","runner.TestGoIbibo","searchTrains","searchTrains","Search Trains button is clicked"
